AI Data Generator started...
2025/03/21 07:51:17 Anomaly detected in metric cpu_usage:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.10, confidence: 0.71)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 8.69, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.04, confidence: 0.70)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.51, confidence: 0.75)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.77, confidence: 0.78)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 4.77, confidence: 0.88)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 7.97, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 7.97, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 6.63, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 6.63, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.62, confidence: 0.96)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 6.14, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 6.14, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 3.88, confidence: 0.79)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 7.98, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 7.98, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 4.31, confidence: 0.83)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.14, confidence: 0.71)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.14, confidence: 0.71)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 6.31, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 6.31, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 7.27, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 6.13, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.99, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.99, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 6.85, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 6.85, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 9.89, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 9.89, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 9.05, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 9.05, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 11.09, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 11.09, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 5.67, confidence: 0.97)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 5.67, confidence: 0.97)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 4.04, confidence: 0.80)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 4.04, confidence: 0.80)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 4.00, confidence: 0.80)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.74, confidence: 0.77)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 4.57, confidence: 0.86)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 7.07, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 7.07, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 6.82, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 6.82, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 7.62, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.83, confidence: 0.98)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.83, confidence: 0.98)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.60, confidence: 0.96)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.83, confidence: 0.98)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.83, confidence: 0.98)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.02, confidence: 0.70)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.88, confidence: 0.79)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 4.13, confidence: 0.81)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 3.07, confidence: 0.71)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.31, confidence: 0.73)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 3.72, confidence: 0.77)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.52, confidence: 0.95)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.52, confidence: 0.95)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.05, confidence: 0.71)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 7.20, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 7.55, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 7.55, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 7.69, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 7.69, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 7.26, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 7.73, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.71, confidence: 0.77)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.55, confidence: 0.96)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.55, confidence: 0.96)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.76, confidence: 0.98)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.76, confidence: 0.98)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.08, confidence: 0.71)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.08, confidence: 0.71)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.00, confidence: 0.70)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.00, confidence: 0.70)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.45, confidence: 0.74)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 4.22, confidence: 0.82)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 4.22, confidence: 0.82)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 3.33, confidence: 0.73)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.63, confidence: 0.76)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 7.04, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.60, confidence: 0.96)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 7.07, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 7.54, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 7.54, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 5.84, confidence: 0.98)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 5.84, confidence: 0.98)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.11, confidence: 0.91)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.11, confidence: 0.91)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 3.81, confidence: 0.78)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 3.81, confidence: 0.78)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.23, confidence: 0.92)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.23, confidence: 0.92)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 4.72, confidence: 0.87)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 4.72, confidence: 0.87)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.38, confidence: 0.74)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 5.41, confidence: 0.94)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 5.41, confidence: 0.94)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 4.89, confidence: 0.89)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.78, confidence: 0.78)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.78, confidence: 0.78)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 4.21, confidence: 0.82)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 4.21, confidence: 0.82)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 4.01, confidence: 0.80)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 4.01, confidence: 0.80)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 4.23, confidence: 0.82)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 7.18, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.61, confidence: 0.96)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.61, confidence: 0.96)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 4.78, confidence: 0.88)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 10.58, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 10.58, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.62, confidence: 0.76)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 10.89, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 10.89, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 4.21, confidence: 0.82)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.65, confidence: 0.77)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 6.20, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 6.20, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 7.09, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.81, confidence: 0.98)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 7.49, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 7.49, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 6.29, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.52, confidence: 0.95)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.52, confidence: 0.95)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 6.76, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 6.76, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 4.72, confidence: 0.87)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 4.72, confidence: 0.87)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 5.65, confidence: 0.96)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.07, confidence: 0.71)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.07, confidence: 0.71)
Training models with generated data...
2025/03/21 07:51:18 Manually training AI model for resource cpu, node node-1 with 168h0m0s lookback
2025/03/21 07:51:18 Successfully trained model for cpu. Current value: 26.39
Trained CPU model for node node-1
2025/03/21 07:51:18 Manually training AI model for resource memory, node node-1 with 168h0m0s lookback
2025/03/21 07:51:18 Successfully trained model for memory. Current value: 52.21
Trained Memory model for node node-1
2025/03/21 07:51:18 Manually training AI model for resource network, node node-1 with 168h0m0s lookback
2025/03/21 07:51:18 Failed to train Network model for node node-1: training failed: no historical data for resource type: network
2025/03/21 07:51:18 Manually training AI model for resource cpu, node node-2 with 168h0m0s lookback
2025/03/21 07:51:18 Successfully trained model for cpu. Current value: 34.42
Trained CPU model for node node-2
2025/03/21 07:51:18 Manually training AI model for resource memory, node node-2 with 168h0m0s lookback
2025/03/21 07:51:18 Successfully trained model for memory. Current value: 48.31
Trained Memory model for node node-2
2025/03/21 07:51:18 Manually training AI model for resource network, node node-2 with 168h0m0s lookback
2025/03/21 07:51:18 Failed to train Network model for node node-2: training failed: no historical data for resource type: network
2025/03/21 07:51:18 Manually training AI model for resource cpu, node node-3 with 168h0m0s lookback
2025/03/21 07:51:18 Successfully trained model for cpu. Current value: 27.00
Trained CPU model for node node-3
2025/03/21 07:51:18 Manually training AI model for resource memory, node node-3 with 168h0m0s lookback
2025/03/21 07:51:18 Successfully trained model for memory. Current value: 51.28
Trained Memory model for node node-3
2025/03/21 07:51:18 Manually training AI model for resource network, node node-3 with 168h0m0s lookback
2025/03/21 07:51:18 Failed to train Network model for node node-3: training failed: no historical data for resource type: network
Data generation and training completed!

Sample predictions for the next 24 hours:
2025/03/21 07:51:18 Error predicting network: no prediction models available
2025/03/21 07:51:18 Error predicting network: no prediction models available
2025/03/21 07:51:18 Error predicting network: no prediction models available
2025/03/21 07:51:18 Error predicting network: no prediction models available
